angle	ws (m/s)	Freq
129	9	0.000838816
129	10	0.000846236
129	11	0.0008154
129	12	0.000751182
129	13	0.000661884
129	14	0.000557775
129	15	0.000449388
129	16	0.000345955
129	17	0.000254294
129	18	0.00017832
129	19	0.000119181
129	20	7.58E-05
129	21	4.59E-05
129	22	2.64E-05
129	23	1.44E-05
129	24	7.46E-06
129	25	3.65E-06
132	4	0.00034786
132	5	0.000475041
132	6	0.000595782
132	7	0.000698845
132	8	0.000774448
132	9	0.000815585
132	10	0.000819054
132	11	0.000785935
132	12	0.00072136
132	13	0.000633574
132	14	0.000532509
132	15	0.000428169
132	16	0.000329188
132	17	0.000241839
132	18	0.000169641
132	19	0.000113522
132	20	7.24E-05
132	21	4.40E-05
132	22	2.54E-05
132	23	1.39E-05
132	24	7.27E-06
132	25	3.59E-06
135	4	0.000348471
135	5	0.000471852
135	6	0.000587336
135	7	0.000684205
135	8	0.000753404
135	9	0.000788743
135	10	0.000787787
135	11	0.000752185
135	12	0.000687325
135	13	0.000601363
135	14	0.000503829
135	15	0.000404119
135	16	0.000310194
135	17	0.000227722
135	18	0.000159782
135	19	0.000107071
135	20	6.85E-05
135	21	4.17E-05
135	22	2.42E-05
135	23	1.34E-05
135	24	7.04E-06
135	25	3.51E-06
138	4	0.000348898
138	5	0.000468094
138	6	0.000577903
138	7	0.000668199
138	8	0.000730712
138	9	0.000760108
138	10	0.000754729
138	11	0.000716776
138	12	0.000651858
138	13	0.000567993
138	14	0.000474264
138	15	0.000379426
138	16	0.000290749
138	17	0.000213297
138	18	0.000149716
138	19	0.00010048
138	20	6.44E-05
138	21	3.94E-05
138	22	2.30E-05
138	23	1.28E-05
138	24	6.80E-06
138	25	3.43E-06
141	4	0.000349016
141	5	0.000463919
141	6	0.000568039
141	7	0.000651868
141	8	0.000707923
141	9	0.000731703
141	10	0.000722273
141	11	0.000682322
141	12	0.000617618
141	13	0.000535998
141	14	0.000446085
141	15	0.000356008
141	16	0.000272384
141	17	0.000199715
141	18	0.000140258
141	19	9.43E-05
141	20	6.06E-05
141	21	3.73E-05
141	22	2.19E-05
141	23	1.23E-05
141	24	6.57E-06
141	25	3.35E-06
144	4	0.000348923
144	5	0.000459772
144	6	0.000558627
144	7	0.000636578
144	8	0.000686869
144	9	0.000705741
144	10	0.000692886
144	11	0.000651384
144	12	0.000587102
144	13	0.000507675
144	14	0.000421289
144	15	0.00033551
144	16	0.000256381
144	17	0.000187924
144	18	0.000132072
144	19	8.90E-05
144	20	5.74E-05
144	21	3.54E-05
144	22	2.09E-05
144	23	1.18E-05
144	24	6.38E-06
144	25	3.29E-06
147	4	0.000348931
147	5	0.000456372
147	6	0.000550853
147	7	0.000623979
147	8	0.000669603
147	9	0.000684569
147	10	0.00066906
147	11	0.000626449
147	12	0.000562648
147	13	0.000485104
147	14	0.000401634
147	15	0.000319342
147	16	0.000243818
147	17	0.000178709
147	18	0.000125704
147	19	8.48E-05
147	20	5.49E-05
147	21	3.40E-05
147	22	2.02E-05
147	23	1.15E-05
147	24	6.24E-06
147	25	3.24E-06
150	4	0.000349515
150	5	0.000454632
150	6	0.000546099
150	7	0.000615895
150	8	0.000658304
150	9	0.000670591
150	10	0.000653277
150	11	0.000609925
150	12	0.000546469
150	13	0.000470215
150	14	0.000388721
150	15	0.000308774
150	16	0.000235656
150	17	0.000172766
150	18	0.000121633
150	19	8.22E-05
150	20	5.33E-05
150	21	3.32E-05
150	22	1.98E-05
150	23	1.13E-05
150	24	6.17E-06
150	25	3.23E-06
153	4	0.000351139
153	5	0.000455363
153	6	0.000545531
153	7	0.000613802
153	8	0.000654679
153	9	0.00066564
153	10	0.000647378
153	11	0.00060356
153	12	0.000540139
153	13	0.000464358
